episode,reward,violations,violation_rate,modifications,modification_rate
1,40.0,57,0.1357142857142857,0,0.0
2,80.0,132,0.1456953642384106,0,0.0
3,60.0,189,0.14383561643835616,0,0.0
4,40.0,256,0.14962010520163646,0,0.0
5,40.0,329,0.15526191599811232,0,0.0
6,260.0,513,0.1623931623931624,0,0.0
7,80.0,566,0.15774804905239687,0,0.0
8,60.0,621,0.15497878712253557,0,0.0
9,100.0,678,0.1509014021811707,0,0.0
10,180.0,743,0.14032105760151087,0,0.0
11,80.0,814,0.14193548387096774,0,0.0
12,320.0,892,0.1319136350192251,0,0.0
13,260.0,969,0.12655086848635236,0,0.0
14,320.0,1177,0.13469901579308766,0,0.0
15,240.0,1393,0.14366749174917492,0,0.0
16,260.0,1609,0.15192144273439712,0,0.0
17,140.0,1689,0.1527262862826657,0,0.0
18,260.0,1896,0.1582901986976123,0,0.0
19,400.0,2047,0.15456055572334643,0,0.0
20,120.0,2126,0.15497885989211255,0,0.0
21,100.0,2209,0.15490883590462834,0,0.0
22,260.0,2289,0.15026587015033152,0,0.0
23,340.0,2491,0.1524293232162526,0,0.0
24,280.0,2560,0.1467721591560601,0,0.0
25,180.0,2630,0.14514348785871964,0,0.0
26,260.0,2700,0.1424426272751253,0,0.0
27,300.0,2778,0.13858126309488178,0,0.0
28,340.0,2860,0.1361191756698872,0,0.0
29,400.0,2929,0.13272611926771796,0,0.0
30,240.0,3134,0.1361129207383279,0,0.0
31,140.0,3201,0.13476759851801953,0,0.0
32,160.0,3281,0.13364017758950755,0,0.0
33,180.0,3356,0.13271116735210375,0,0.0
34,300.0,3508,0.13257246513737198,0,0.0
35,140.0,3593,0.1327937317514876,0,0.0
36,200.0,3670,0.13214272854931047,0,0.0
37,80.0,3744,0.1320448613952176,0,0.0
38,220.0,3822,0.13105198189548758,0,0.0
39,100.0,3898,0.13090640427175337,0,0.0
40,180.0,3978,0.130687604717632,0,0.0
41,160.0,4052,0.13066752660432118,0,0.0
42,160.0,4137,0.13129582024183567,0,0.0
43,240.0,4302,0.13260588126502681,0,0.0
44,380.0,4530,0.13487361181409474,0,0.0
45,360.0,4738,0.13614551305996955,0,0.0
46,440.0,4934,0.13696044413601666,0,0.0
47,340.0,5110,0.13851992409867173,0,0.0
48,100.0,5193,0.1390138130420816,0,0.0
49,140.0,5273,0.13889474238752503,0,0.0
50,180.0,5351,0.13834380413144085,0,0.0
51,260.0,5568,0.14074111521156665,0,0.0
52,360.0,5665,0.13949766067471067,0,0.0
53,140.0,5740,0.13946933618427446,0,0.0
54,440.0,5962,0.14072273231524535,0,0.0
55,280.0,6164,0.14240499018135613,0,0.0
56,100.0,6245,0.1426743734436042,0,0.0
57,260.0,6315,0.1414935806950326,0,0.0
58,320.0,6393,0.14036667032605116,0,0.0
59,260.0,6464,0.13954492465782997,0,0.0
60,380.0,6680,0.1409877585479105,0,0.0
61,360.0,6870,0.14147737803496777,0,0.0
62,320.0,7062,0.14223278483817042,0,0.0
63,360.0,7270,0.14293016671909406,0,0.0
64,440.0,7551,0.1446995247585467,0,0.0
65,400.0,7765,0.1456875363515263,0,0.0
66,280.0,7849,0.1447247114356308,0,0.0
67,220.0,7925,0.14454820705504687,0,0.0
68,100.0,8001,0.14465477029885557,0,0.0
69,100.0,8075,0.14468473956746877,0,0.0
70,220.0,8158,0.14439193614046267,0,0.0
71,380.0,8376,0.145446968118358,0,0.0
72,260.0,8459,0.14487565938206481,0,0.0
73,320.0,8617,0.14517976884455977,0,0.0
74,340.0,8842,0.14615842369743454,0,0.0
75,120.0,8920,0.146366276684771,0,0.0
76,60.0,9003,0.14679602152290885,0,0.0
77,180.0,9074,0.14653682799605963,0,0.0
78,240.0,9148,0.14562936784628364,0,0.0
79,140.0,9221,0.14551738286489813,0,0.0
80,240.0,9292,0.14506736608745882,0,0.0
